Gene	Taxon	Plot	landuseCode	Elevation	variable	value
16S	Chlorobi	LB1-A	I	630	Effective alpha diversity	1
16S	Chlorobi	LB5-A	I	634	Effective alpha diversity	1
16S	Chlorobi	CM30c30-L	I	597	Effective alpha diversity	1
16S	Chlorobi	Plot06-I	I	320	Effective alpha diversity	3
16S	Chlorobi	CM30c53-B	I	155	Effective alpha diversity	1
16S	Chlorobi	CM30c51-I	I	67	Effective alpha diversity	2
16S	Chlorobi	Plot02-C	I	90	Effective alpha diversity	1.60663079608635
16S	Chlorobi	CM30c35-D	I	165	Effective alpha diversity	1
16S	Chlorobi	Plot03-H	I	160	Effective alpha diversity	1
16S	Chlorobi	CM30b51-B	I	174.627853	Effective alpha diversity	1.96013170420779
16S	Chlorobi	CM31a5-B	I	70	Effective alpha diversity	1
16S	Chlorobi	CM30c30-N	I	597	Effective alpha diversity	1
16S	Chlorobi	CM30b60-M	I	400	Effective alpha diversity	3.789291416276
16S	Chlorobi	Plot02-M	I	90	Effective alpha diversity	1
16S	Chlorobi	Plot08-O	I	460	Effective alpha diversity	1
16S	Chlorobi	Plot06-N	I	320	Effective alpha diversity	1.75476535060332
16S	Chlorobi	CM30c35-B	I	165	Effective alpha diversity	1
16S	Chlorobi	Plot07-N	I	420	Effective alpha diversity	3.83023839553492
16S	Chlorobi	CM30c60-A	I	51	Effective alpha diversity	1.88988157484231
16S	Chlamydiae	CM30c28-P	I	227	Effective alpha diversity	32.5096805094578
16S	Chlamydiae	CM30c62-D	I	99	Effective alpha diversity	6.675458914965
16S	Chlamydiae	Plot07-M	I	420	Effective alpha diversity	18.5364847100734
16S	Chlamydiae	LB1-E	I	630	Effective alpha diversity	51.5142957207506
16S	Chlamydiae	Plot05-I	I	240	Effective alpha diversity	34.657876960402
16S	Chlamydiae	CM30c39-E	I	290	Effective alpha diversity	27.4334337579874
16S	Chlamydiae	Plot01-L	I	50	Effective alpha diversity	15.0831547375862
16S	Chlamydiae	CM30c53-I	I	155	Effective alpha diversity	26.5139268360759
16S	Chlamydiae	CM31a5-A	I	70	Effective alpha diversity	22.3508174337837
16S	Chlamydiae	CM30c46-D	I	319	Effective alpha diversity	60.6930198927499
16S	Chlamydiae	CM30c-O	I	283	Effective alpha diversity	22.6209644565707
16S	Chlamydiae	CM30c28-N	I	227	Effective alpha diversity	33.1332530088366
16S	Chlamydiae	CM30d3-L	I	518	Effective alpha diversity	21.7684067551273
16S	Chlamydiae	CM30c44-B	I	110	Effective alpha diversity	17.7892283444996
16S	Chlamydiae	CM30c37-E	I	279	Effective alpha diversity	23.4682502161644
16S	Chlamydiae	CM30c62-M	I	99	Effective alpha diversity	9.66500106919165
16S	Chlamydiae	CM30c37-L	I	279	Effective alpha diversity	30.0770384633144
16S	Chlamydiae	CM30c51-H	I	67	Effective alpha diversity	9.970321360957
16S	Chlamydiae	Plot05-N	I	240	Effective alpha diversity	28.6635912415587
16S	Chlamydiae	CM30d12-H	I	371	Effective alpha diversity	30.3808159661637
16S	Chlamydiae	Plot03-N	I	160	Effective alpha diversity	12.3376866032635
16S	Chlamydiae	CM30c46-O	I	319	Effective alpha diversity	35.9390685893535
16S	Chlamydiae	CM30b58-C	I	9	Effective alpha diversity	42.6946474517261
16S	Chlamydiae	CM30b60-E	I	400	Effective alpha diversity	60.9223350631308
16S	Chlamydiae	CM30c-P	I	283	Effective alpha diversity	34.153884549635
16S	Chlamydiae	Plot04-A	I	260	Effective alpha diversity	29.5609993552423
16S	Chlamydiae	CM30c39-A	I	290	Effective alpha diversity	50.5373809620434
16S	Chlamydiae	CM30c60-B	I	51	Effective alpha diversity	6.44741959094125
16S	Chlamydiae	Plot01-B	I	50	Effective alpha diversity	6.39479454493125
16S	Chlamydiae	CM30b51-M	I	174.627853	Effective alpha diversity	32.2365632838098
16S	Chlamydiae	CM30d12-L	I	371	Effective alpha diversity	35.7513308491926
16S	Chlamydiae	Plot08-I	I	460	Effective alpha diversity	17.4671259352276
16S	Chlamydiae	CM30c44-C	I	110	Effective alpha diversity	30.178282100625
16S	Chlamydiae	Plot04-N	I	260	Effective alpha diversity	58.2282173329224
16S	Chlamydiae	LB5-I	I	634	Effective alpha diversity	56.2197758930831
16S	Chlamydiae	CM30d3-D	I	518	Effective alpha diversity	38.3742365553728
16S	Chlamydiae	CM30b58-I	I	9	Effective alpha diversity	30.9277189184706
16S	Chlamydiae	LB1-A	I	630	Effective alpha diversity	30.1288306353311
16S	Chlamydiae	LB5-A	I	634	Effective alpha diversity	49.1732057226083
16S	Chlamydiae	CM30c30-L	I	597	Effective alpha diversity	34.9543691473513
16S	Chlamydiae	Plot06-I	I	320	Effective alpha diversity	20.5180684620169
16S	Chlamydiae	CM30c53-B	I	155	Effective alpha diversity	26.1655865769492
16S	Chlamydiae	CM30c51-I	I	67	Effective alpha diversity	10.5031299361895
16S	Chlamydiae	Plot02-C	I	90	Effective alpha diversity	10.5803781850164
16S	Chlamydiae	CM30c35-D	I	165	Effective alpha diversity	13.8742325455714
16S	Chlamydiae	Plot03-H	I	160	Effective alpha diversity	22.1825680167603
16S	Chlamydiae	CM30b51-B	I	174.627853	Effective alpha diversity	41.5275120541353
16S	Chlamydiae	CM31a5-B	I	70	Effective alpha diversity	22.2478096542132
16S	Chlamydiae	CM30c30-N	I	597	Effective alpha diversity	31.8967122911555
16S	Chlamydiae	CM30b60-M	I	400	Effective alpha diversity	15.1477291131604
16S	Chlamydiae	Plot02-M	I	90	Effective alpha diversity	14.6875561682987
16S	Chlamydiae	Plot08-O	I	460	Effective alpha diversity	43.2053967372904
16S	Chlamydiae	Plot06-N	I	320	Effective alpha diversity	29.4877759257877
16S	Chlamydiae	CM30c35-B	I	165	Effective alpha diversity	4.35275281648062
16S	Chlamydiae	Plot07-N	I	420	Effective alpha diversity	22.7990145963207
16S	Chlamydiae	CM30c60-A	I	51	Effective alpha diversity	12.4685684421418
16S	Lentisphaerae	CM30c28-P	I	227	Effective alpha diversity	1
16S	Lentisphaerae	CM30c62-D	I	99	Effective alpha diversity	1
16S	Lentisphaerae	Plot07-M	I	420	Effective alpha diversity	3.36358566101486
16S	Lentisphaerae	LB1-E	I	630	Effective alpha diversity	1
16S	Lentisphaerae	Plot05-I	I	240	Effective alpha diversity	1
16S	Lentisphaerae	CM30c39-E	I	290	Effective alpha diversity	1
16S	Lentisphaerae	Plot01-L	I	50	Effective alpha diversity	1
16S	Lentisphaerae	CM30c53-I	I	155	Effective alpha diversity	1
16S	Lentisphaerae	CM31a5-A	I	70	Effective alpha diversity	1.47286925894327
16S	Lentisphaerae	CM30c46-D	I	319	Effective alpha diversity	1
16S	Lentisphaerae	CM30c-O	I	283	Effective alpha diversity	1
16S	Lentisphaerae	CM30c28-N	I	227	Effective alpha diversity	1
16S	Lentisphaerae	CM30d3-L	I	518	Effective alpha diversity	1
16S	Lentisphaerae	CM30c44-B	I	110	Effective alpha diversity	1
16S	Lentisphaerae	CM30c37-E	I	279	Effective alpha diversity	1
16S	Lentisphaerae	CM30c62-M	I	99	Effective alpha diversity	1
16S	Lentisphaerae	CM30c37-L	I	279	Effective alpha diversity	1
16S	Lentisphaerae	CM30c51-H	I	67	Effective alpha diversity	1.88988157484231
16S	Lentisphaerae	Plot05-N	I	240	Effective alpha diversity	1
16S	Lentisphaerae	CM30d12-H	I	371	Effective alpha diversity	1
16S	Lentisphaerae	Plot03-N	I	160	Effective alpha diversity	1
16S	Lentisphaerae	CM30c46-O	I	319	Effective alpha diversity	1
16S	Lentisphaerae	CM30b58-C	I	9	Effective alpha diversity	1.64938488846612
16S	Lentisphaerae	CM30b60-E	I	400	Effective alpha diversity	3.64933575406311
16S	Lentisphaerae	CM30c-P	I	283	Effective alpha diversity	1
16S	Lentisphaerae	Plot04-A	I	260	Effective alpha diversity	1.88988157484231
16S	Lentisphaerae	CM30c39-A	I	290	Effective alpha diversity	1
16S	Lentisphaerae	CM30c60-B	I	51	Effective alpha diversity	1
16S	Lentisphaerae	Plot01-B	I	50	Effective alpha diversity	1
16S	Lentisphaerae	CM30b51-M	I	174.627853	Effective alpha diversity	1
16S	Lentisphaerae	CM30d12-L	I	371	Effective alpha diversity	1
16S	Lentisphaerae	Plot08-I	I	460	Effective alpha diversity	1
16S	Lentisphaerae	CM30c44-C	I	110	Effective alpha diversity	1
16S	Lentisphaerae	Plot04-N	I	260	Effective alpha diversity	1
16S	Lentisphaerae	LB5-I	I	634	Effective alpha diversity	1.96013170420779
16S	Lentisphaerae	CM30d3-D	I	518	Effective alpha diversity	2.58640928985893
16S	Lentisphaerae	CM30b58-I	I	9	Effective alpha diversity	1
16S	Lentisphaerae	LB1-A	I	630	Effective alpha diversity	1
16S	Lentisphaerae	LB5-A	I	634	Effective alpha diversity	1
16S	Lentisphaerae	CM30c30-L	I	597	Effective alpha diversity	1
16S	Lentisphaerae	Plot06-I	I	320	Effective alpha diversity	1
16S	Lentisphaerae	CM30c53-B	I	155	Effective alpha diversity	1
16S	Lentisphaerae	CM30c51-I	I	67	Effective alpha diversity	1
16S	Lentisphaerae	Plot02-C	I	90	Effective alpha diversity	1
16S	Lentisphaerae	CM30c35-D	I	165	Effective alpha diversity	1
16S	Lentisphaerae	Plot03-H	I	160	Effective alpha diversity	1
16S	Lentisphaerae	CM30b51-B	I	174.627853	Effective alpha diversity	1
16S	Lentisphaerae	CM31a5-B	I	70	Effective alpha diversity	1.29345720901131
16S	Lentisphaerae	CM30c30-N	I	597	Effective alpha diversity	1
16S	Lentisphaerae	CM30b60-M	I	400	Effective alpha diversity	1
16S	Lentisphaerae	Plot02-M	I	90	Effective alpha diversity	1
16S	Lentisphaerae	Plot08-O	I	460	Effective alpha diversity	1
16S	Lentisphaerae	Plot06-N	I	320	Effective alpha diversity	2
16S	Lentisphaerae	CM30c35-B	I	165	Effective alpha diversity	1
16S	Lentisphaerae	Plot07-N	I	420	Effective alpha diversity	1
16S	Lentisphaerae	CM30c60-A	I	51	Effective alpha diversity	1
16S	Verrucomicrobia	CM30c28-P	I	227	Effective alpha diversity	20.4761182361182
16S	Verrucomicrobia	CM30c62-D	I	99	Effective alpha diversity	7.84360339816805
16S	Verrucomicrobia	Plot07-M	I	420	Effective alpha diversity	25.4850837825444
16S	Verrucomicrobia	LB1-E	I	630	Effective alpha diversity	25.1811864383712
16S	Verrucomicrobia	Plot05-I	I	240	Effective alpha diversity	13.979291668131
16S	Verrucomicrobia	CM30c39-E	I	290	Effective alpha diversity	8.742495200118
16S	Verrucomicrobia	Plot01-L	I	50	Effective alpha diversity	51.5161420521321
16S	Verrucomicrobia	CM30c53-I	I	155	Effective alpha diversity	30.4156105103684
16S	Verrucomicrobia	CM31a5-A	I	70	Effective alpha diversity	30.6160717023155
16S	Verrucomicrobia	CM30c46-D	I	319	Effective alpha diversity	28.7308585427982
16S	Verrucomicrobia	CM30c-O	I	283	Effective alpha diversity	24.7164401790057
16S	Verrucomicrobia	CM30c28-N	I	227	Effective alpha diversity	22.0211917481603
16S	Verrucomicrobia	CM30d3-L	I	518	Effective alpha diversity	22.6386798468726
16S	Verrucomicrobia	CM30c44-B	I	110	Effective alpha diversity	37.9883820039468
16S	Verrucomicrobia	CM30c37-E	I	279	Effective alpha diversity	19.3589139392568
16S	Verrucomicrobia	CM30c62-M	I	99	Effective alpha diversity	6.3405727508248
16S	Verrucomicrobia	CM30c37-L	I	279	Effective alpha diversity	9.43782655655777
16S	Verrucomicrobia	CM30c51-H	I	67	Effective alpha diversity	32.4792251380193
16S	Verrucomicrobia	Plot05-N	I	240	Effective alpha diversity	11.7068346237558
16S	Verrucomicrobia	CM30d12-H	I	371	Effective alpha diversity	36.9907757106872
16S	Verrucomicrobia	Plot03-N	I	160	Effective alpha diversity	14.7830954449153
16S	Verrucomicrobia	CM30c46-O	I	319	Effective alpha diversity	14.2081566334816
16S	Verrucomicrobia	CM30b58-C	I	9	Effective alpha diversity	43.98323738036
16S	Verrucomicrobia	CM30b60-E	I	400	Effective alpha diversity	42.73849965484
16S	Verrucomicrobia	CM30c-P	I	283	Effective alpha diversity	22.995538609369
16S	Verrucomicrobia	Plot04-A	I	260	Effective alpha diversity	57.4316109258349
16S	Verrucomicrobia	CM30c39-A	I	290	Effective alpha diversity	47.8470722958796
16S	Verrucomicrobia	CM30c60-B	I	51	Effective alpha diversity	28.4603714551348
16S	Verrucomicrobia	Plot01-B	I	50	Effective alpha diversity	32.9364693453683
16S	Verrucomicrobia	CM30b51-M	I	174.627853	Effective alpha diversity	46.2888021827216
16S	Verrucomicrobia	CM30d12-L	I	371	Effective alpha diversity	31.758152910776
16S	Verrucomicrobia	Plot08-I	I	460	Effective alpha diversity	17.8494862519658
16S	Verrucomicrobia	CM30c44-C	I	110	Effective alpha diversity	44.1807692611138
16S	Verrucomicrobia	Plot04-N	I	260	Effective alpha diversity	66.1281962644481
16S	Verrucomicrobia	LB5-I	I	634	Effective alpha diversity	37.2887270946997
16S	Verrucomicrobia	CM30d3-D	I	518	Effective alpha diversity	59.9650462343979
16S	Verrucomicrobia	CM30b58-I	I	9	Effective alpha diversity	26.6367641953582
16S	Verrucomicrobia	LB1-A	I	630	Effective alpha diversity	30.0444265036891
16S	Verrucomicrobia	LB5-A	I	634	Effective alpha diversity	39.3393312081195
16S	Verrucomicrobia	CM30c30-L	I	597	Effective alpha diversity	36.4708559209673
16S	Verrucomicrobia	Plot06-I	I	320	Effective alpha diversity	45.0392461640811
16S	Verrucomicrobia	CM30c53-B	I	155	Effective alpha diversity	26.585703366276
16S	Verrucomicrobia	CM30c51-I	I	67	Effective alpha diversity	28.9466986358166
16S	Verrucomicrobia	Plot02-C	I	90	Effective alpha diversity	17.7788262679056
16S	Verrucomicrobia	CM30c35-D	I	165	Effective alpha diversity	7.03702636306359
16S	Verrucomicrobia	Plot03-H	I	160	Effective alpha diversity	9.29133015243547
16S	Verrucomicrobia	CM30b51-B	I	174.627853	Effective alpha diversity	52.0453985281279
16S	Verrucomicrobia	CM31a5-B	I	70	Effective alpha diversity	40.0845730547945
16S	Verrucomicrobia	CM30c30-N	I	597	Effective alpha diversity	28.5275366832805
16S	Verrucomicrobia	CM30b60-M	I	400	Effective alpha diversity	31.2169320488406
16S	Verrucomicrobia	Plot02-M	I	90	Effective alpha diversity	8.28705228124079
16S	Verrucomicrobia	Plot08-O	I	460	Effective alpha diversity	15.6547585574549
16S	Verrucomicrobia	Plot06-N	I	320	Effective alpha diversity	44.5592181236328
16S	Verrucomicrobia	CM30c35-B	I	165	Effective alpha diversity	13.9701514815397
16S	Verrucomicrobia	Plot07-N	I	420	Effective alpha diversity	26.2578883532155
16S	Verrucomicrobia	CM30c60-A	I	51	Effective alpha diversity	18.8540440990383
16S	Elusimicrobia	CM30c28-P	I	227	Effective alpha diversity	1.64938488846612
16S	Elusimicrobia	CM30c62-D	I	99	Effective alpha diversity	1
16S	Elusimicrobia	Plot07-M	I	420	Effective alpha diversity	3.70907929775537
16S	Elusimicrobia	LB1-E	I	630	Effective alpha diversity	2.82842712474619
16S	Elusimicrobia	Plot05-I	I	240	Effective alpha diversity	2.68290308480133
16S	Elusimicrobia	CM30c39-E	I	290	Effective alpha diversity	1.88988157484231
16S	Elusimicrobia	Plot01-L	I	50	Effective alpha diversity	1
16S	Elusimicrobia	CM30c53-I	I	155	Effective alpha diversity	1
16S	Elusimicrobia	CM31a5-A	I	70	Effective alpha diversity	2.34999918559381
16S	Elusimicrobia	CM30c46-D	I	319	Effective alpha diversity	2
16S	Elusimicrobia	CM30c-O	I	283	Effective alpha diversity	1
16S	Elusimicrobia	CM30c28-N	I	227	Effective alpha diversity	1
16S	Elusimicrobia	CM30d3-L	I	518	Effective alpha diversity	1
16S	Elusimicrobia	CM30c44-B	I	110	Effective alpha diversity	1
16S	Elusimicrobia	CM30c37-E	I	279	Effective alpha diversity	2.60049000598966
16S	Elusimicrobia	CM30c62-M	I	99	Effective alpha diversity	1
16S	Elusimicrobia	CM30c37-L	I	279	Effective alpha diversity	1.64938488846612
16S	Elusimicrobia	CM30c51-H	I	67	Effective alpha diversity	1
16S	Elusimicrobia	Plot05-N	I	240	Effective alpha diversity	2.58640928985893
16S	Elusimicrobia	CM30d12-H	I	371	Effective alpha diversity	3.58598882705695
16S	Elusimicrobia	Plot03-N	I	160	Effective alpha diversity	1.88988157484231
16S	Elusimicrobia	CM30c46-O	I	319	Effective alpha diversity	4.66601703852399
16S	Elusimicrobia	CM30b58-C	I	9	Effective alpha diversity	4
16S	Elusimicrobia	CM30b60-E	I	400	Effective alpha diversity	2.6493511285621
16S	Elusimicrobia	CM30c-P	I	283	Effective alpha diversity	2
16S	Elusimicrobia	Plot04-A	I	260	Effective alpha diversity	1.88988157484231
16S	Elusimicrobia	CM30c39-A	I	290	Effective alpha diversity	3.46410161513775
16S	Elusimicrobia	CM30c60-B	I	51	Effective alpha diversity	1
16S	Elusimicrobia	Plot01-B	I	50	Effective alpha diversity	1
16S	Elusimicrobia	CM30b51-M	I	174.627853	Effective alpha diversity	2.60049000598966
16S	Elusimicrobia	CM30d12-L	I	371	Effective alpha diversity	1.88988157484231
16S	Elusimicrobia	Plot08-I	I	460	Effective alpha diversity	1
16S	Elusimicrobia	CM30c44-C	I	110	Effective alpha diversity	1
16S	Elusimicrobia	Plot04-N	I	260	Effective alpha diversity	1.88988157484231
16S	Elusimicrobia	LB5-I	I	634	Effective alpha diversity	5.28687937951329
16S	Elusimicrobia	CM30d3-D	I	518	Effective alpha diversity	2.74945927399721
16S	Elusimicrobia	CM30b58-I	I	9	Effective alpha diversity	1
16S	Elusimicrobia	LB1-A	I	630	Effective alpha diversity	2
16S	Elusimicrobia	LB5-A	I	634	Effective alpha diversity	2
16S	Elusimicrobia	CM30c30-L	I	597	Effective alpha diversity	1
16S	Elusimicrobia	Plot06-I	I	320	Effective alpha diversity	1.88988157484231
16S	Elusimicrobia	CM30c53-B	I	155	Effective alpha diversity	1
16S	Elusimicrobia	CM30c51-I	I	67	Effective alpha diversity	1
16S	Elusimicrobia	Plot02-C	I	90	Effective alpha diversity	3.74674829750099
16S	Elusimicrobia	CM30c35-D	I	165	Effective alpha diversity	2.7494592739972
16S	Elusimicrobia	Plot03-H	I	160	Effective alpha diversity	2
16S	Elusimicrobia	CM30b51-B	I	174.627853	Effective alpha diversity	3
16S	Elusimicrobia	CM31a5-B	I	70	Effective alpha diversity	2.58640928985893
16S	Elusimicrobia	CM30c30-N	I	597	Effective alpha diversity	1
16S	Elusimicrobia	CM30b60-M	I	400	Effective alpha diversity	1
16S	Elusimicrobia	Plot02-M	I	90	Effective alpha diversity	1.64938488846612
16S	Elusimicrobia	Plot08-O	I	460	Effective alpha diversity	3.58598882705695
16S	Elusimicrobia	Plot06-N	I	320	Effective alpha diversity	1.96013170420779
16S	Elusimicrobia	CM30c35-B	I	165	Effective alpha diversity	1
16S	Elusimicrobia	Plot07-N	I	420	Effective alpha diversity	2.21734745227321
16S	Elusimicrobia	CM30c60-A	I	51	Effective alpha diversity	1
16S	Acidobacteria	CM30c28-P	I	227	Effective alpha diversity	53.3433870597437
16S	Acidobacteria	CM30c62-D	I	99	Effective alpha diversity	36.6864716227857
16S	Acidobacteria	Plot07-M	I	420	Effective alpha diversity	58.9661861928524
16S	Acidobacteria	LB1-E	I	630	Effective alpha diversity	105.107628298901
16S	Acidobacteria	Plot05-I	I	240	Effective alpha diversity	68.7727932276087
16S	Acidobacteria	CM30c39-E	I	290	Effective alpha diversity	68.0991305655691
16S	Acidobacteria	Plot01-L	I	50	Effective alpha diversity	71.9062120300834
16S	Acidobacteria	CM30c53-I	I	155	Effective alpha diversity	47.7180107317752
16S	Acidobacteria	CM31a5-A	I	70	Effective alpha diversity	76.274340992404
16S	Acidobacteria	CM30c46-D	I	319	Effective alpha diversity	67.3788066783601
16S	Acidobacteria	CM30c-O	I	283	Effective alpha diversity	64.7259071033579
16S	Acidobacteria	CM30c28-N	I	227	Effective alpha diversity	36.2735648644758
16S	Acidobacteria	CM30d3-L	I	518	Effective alpha diversity	93.4824752223727
16S	Acidobacteria	CM30c44-B	I	110	Effective alpha diversity	82.3680423543527
16S	Acidobacteria	CM30c37-E	I	279	Effective alpha diversity	77.7908649743439
16S	Acidobacteria	CM30c62-M	I	99	Effective alpha diversity	46.7491214397609
16S	Acidobacteria	CM30c37-L	I	279	Effective alpha diversity	73.7814746208548
16S	Acidobacteria	CM30c51-H	I	67	Effective alpha diversity	77.5479196753835
16S	Acidobacteria	Plot05-N	I	240	Effective alpha diversity	63.9579508173712
16S	Acidobacteria	CM30d12-H	I	371	Effective alpha diversity	102.956689891882
16S	Acidobacteria	Plot03-N	I	160	Effective alpha diversity	55.9712104316377
16S	Acidobacteria	CM30c46-O	I	319	Effective alpha diversity	55.7599779953579
16S	Acidobacteria	CM30b58-C	I	9	Effective alpha diversity	100.748430234237
16S	Acidobacteria	CM30b60-E	I	400	Effective alpha diversity	78.3410973504649
16S	Acidobacteria	CM30c-P	I	283	Effective alpha diversity	84.7770481926614
16S	Acidobacteria	Plot04-A	I	260	Effective alpha diversity	91.9232746744598
16S	Acidobacteria	CM30c39-A	I	290	Effective alpha diversity	85.0681446644961
16S	Acidobacteria	CM30c60-B	I	51	Effective alpha diversity	64.9985173811579
16S	Acidobacteria	Plot01-B	I	50	Effective alpha diversity	50.5383241700945
16S	Acidobacteria	CM30b51-M	I	174.627853	Effective alpha diversity	94.1644070876888
16S	Acidobacteria	CM30d12-L	I	371	Effective alpha diversity	93.3107139624163
16S	Acidobacteria	Plot08-I	I	460	Effective alpha diversity	55.363552113895
16S	Acidobacteria	CM30c44-C	I	110	Effective alpha diversity	85.5284521027547
16S	Acidobacteria	Plot04-N	I	260	Effective alpha diversity	121.999718260181
16S	Acidobacteria	LB5-I	I	634	Effective alpha diversity	122.983607102437
16S	Acidobacteria	CM30d3-D	I	518	Effective alpha diversity	86.2656809123389
16S	Acidobacteria	CM30b58-I	I	9	Effective alpha diversity	80.6379142548174
16S	Acidobacteria	LB1-A	I	630	Effective alpha diversity	88.7102396021416
16S	Acidobacteria	LB5-A	I	634	Effective alpha diversity	94.0466868687192
16S	Acidobacteria	CM30c30-L	I	597	Effective alpha diversity	58.3073275990377
16S	Acidobacteria	Plot06-I	I	320	Effective alpha diversity	84.8230154507752
16S	Acidobacteria	CM30c53-B	I	155	Effective alpha diversity	64.2975548285636
16S	Acidobacteria	CM30c51-I	I	67	Effective alpha diversity	71.4491277694154
16S	Acidobacteria	Plot02-C	I	90	Effective alpha diversity	70.903493250638
16S	Acidobacteria	CM30c35-D	I	165	Effective alpha diversity	35.4774083773377
16S	Acidobacteria	Plot03-H	I	160	Effective alpha diversity	53.7980390917906
16S	Acidobacteria	CM30b51-B	I	174.627853	Effective alpha diversity	88.320979488112
16S	Acidobacteria	CM31a5-B	I	70	Effective alpha diversity	101.927246088146
16S	Acidobacteria	CM30c30-N	I	597	Effective alpha diversity	73.5606915976653
16S	Acidobacteria	CM30b60-M	I	400	Effective alpha diversity	73.233719455411
16S	Acidobacteria	Plot02-M	I	90	Effective alpha diversity	61.9716197649088
16S	Acidobacteria	Plot08-O	I	460	Effective alpha diversity	60.8457437977576
16S	Acidobacteria	Plot06-N	I	320	Effective alpha diversity	72.3192319969307
16S	Acidobacteria	CM30c35-B	I	165	Effective alpha diversity	42.6923847825607
16S	Acidobacteria	Plot07-N	I	420	Effective alpha diversity	61.2775197926475
16S	Acidobacteria	CM30c60-A	I	51	Effective alpha diversity	59.0037996393754
16S	Firmicutes	CM30c28-P	I	227	Effective alpha diversity	10.1083970612102
16S	Firmicutes	CM30c62-D	I	99	Effective alpha diversity	9.00557355711743
16S	Firmicutes	Plot07-M	I	420	Effective alpha diversity	18.5939579094103
16S	Firmicutes	LB1-E	I	630	Effective alpha diversity	18.8686881980431
16S	Firmicutes	Plot05-I	I	240	Effective alpha diversity	17.779857621408
16S	Firmicutes	CM30c39-E	I	290	Effective alpha diversity	9.68276869021913
16S	Firmicutes	Plot01-L	I	50	Effective alpha diversity	14.9804081881718
16S	Firmicutes	CM30c53-I	I	155	Effective alpha diversity	18.2000095510384
16S	Firmicutes	CM31a5-A	I	70	Effective alpha diversity	21.3978063953354
16S	Firmicutes	CM30c46-D	I	319	Effective alpha diversity	15.8412194498086
16S	Firmicutes	CM30c-O	I	283	Effective alpha diversity	3.35511183558456
16S	Firmicutes	CM30c28-N	I	227	Effective alpha diversity	10.4940861874933
16S	Firmicutes	CM30d3-L	I	518	Effective alpha diversity	12.533719257391
16S	Firmicutes	CM30c44-B	I	110	Effective alpha diversity	15.5722296527601
16S	Firmicutes	CM30c37-E	I	279	Effective alpha diversity	24.2213687693793
16S	Firmicutes	CM30c62-M	I	99	Effective alpha diversity	4.16115901971787
16S	Firmicutes	CM30c37-L	I	279	Effective alpha diversity	23.7186800700347
16S	Firmicutes	CM30c51-H	I	67	Effective alpha diversity	28.4007104860708
16S	Firmicutes	Plot05-N	I	240	Effective alpha diversity	18.8130664635437
16S	Firmicutes	CM30d12-H	I	371	Effective alpha diversity	8.44772462887859
16S	Firmicutes	Plot03-N	I	160	Effective alpha diversity	6.15572206672458
16S	Firmicutes	CM30c46-O	I	319	Effective alpha diversity	15.6175510494528
16S	Firmicutes	CM30b58-C	I	9	Effective alpha diversity	26.6450410400571
16S	Firmicutes	CM30b60-E	I	400	Effective alpha diversity	22.9224639139698
16S	Firmicutes	CM30c-P	I	283	Effective alpha diversity	18.3775951423665
16S	Firmicutes	Plot04-A	I	260	Effective alpha diversity	17.6042251440905
16S	Firmicutes	CM30c39-A	I	290	Effective alpha diversity	32.7878935783239
16S	Firmicutes	CM30c60-B	I	51	Effective alpha diversity	9.07568045880467
16S	Firmicutes	Plot01-B	I	50	Effective alpha diversity	8.52054421555319
16S	Firmicutes	CM30b51-M	I	174.627853	Effective alpha diversity	16.6208664967062
16S	Firmicutes	CM30d12-L	I	371	Effective alpha diversity	13.2264246803632
16S	Firmicutes	Plot08-I	I	460	Effective alpha diversity	14.3699037815219
16S	Firmicutes	CM30c44-C	I	110	Effective alpha diversity	16.2086111284936
16S	Firmicutes	Plot04-N	I	260	Effective alpha diversity	21.9690341165679
16S	Firmicutes	LB5-I	I	634	Effective alpha diversity	20.7564061561811
16S	Firmicutes	CM30d3-D	I	518	Effective alpha diversity	16.8732122771794
16S	Firmicutes	CM30b58-I	I	9	Effective alpha diversity	11.0922565175399
16S	Firmicutes	LB1-A	I	630	Effective alpha diversity	17.7799832216452
16S	Firmicutes	LB5-A	I	634	Effective alpha diversity	16.0385794823158
16S	Firmicutes	CM30c30-L	I	597	Effective alpha diversity	9.2967549614408
16S	Firmicutes	Plot06-I	I	320	Effective alpha diversity	20.9760978790905
16S	Firmicutes	CM30c53-B	I	155	Effective alpha diversity	18.1926834422614
16S	Firmicutes	CM30c51-I	I	67	Effective alpha diversity	5.74234749205346
16S	Firmicutes	Plot02-C	I	90	Effective alpha diversity	9.74906393043359
16S	Firmicutes	CM30c35-D	I	165	Effective alpha diversity	11.4096956529458
16S	Firmicutes	Plot03-H	I	160	Effective alpha diversity	15.0731575910548
16S	Firmicutes	CM30b51-B	I	174.627853	Effective alpha diversity	17.3323338256333
16S	Firmicutes	CM31a5-B	I	70	Effective alpha diversity	15.0591299205313
16S	Firmicutes	CM30c30-N	I	597	Effective alpha diversity	19.372778643832
16S	Firmicutes	CM30b60-M	I	400	Effective alpha diversity	15.6942421535449
16S	Firmicutes	Plot02-M	I	90	Effective alpha diversity	9.29805433354159
16S	Firmicutes	Plot08-O	I	460	Effective alpha diversity	14.1467147694404
16S	Firmicutes	Plot06-N	I	320	Effective alpha diversity	19.9774878707076
16S	Firmicutes	CM30c35-B	I	165	Effective alpha diversity	8.66133411674823
